Year,Tms,#P,PAge,R/G,ERA,G,GF,CG,SHO,tSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,BAbip,H9,HR9,BB9,SO9,SO/W,E,BatAge,PA,AB,2B,3B,RBI,SB,CS,BA,OBP,SLG,OPS,TB,GDP,SH,SF
2021,30,658,28.9,4.4,4.08,1874,0.99,0.01,0.01,0.07,0.24,8.77,7.86,4.4,3.98,1.16,3.3,0.14,8.98,0.43,0.03,0.41,37.26,,1.272,0.289,8.1,1.2,3.4,9.2,2.72,0.58,28.5,37.26,33.13,1.55,0.14,4.16,0.46,0.15,0.237,0.313,0.397,0.71,13.16,0.67,0.15,0.23
2020,30,735,28.3,4.65,4.44,1796,0.98,0.02,0.01,0.06,0.23,8.61,8.04,4.65,4.25,1.28,3.39,0.11,8.68,0.46,0.04,0.38,37.03,,1.327,0.292,8.4,1.3,3.5,9.1,2.56,0.58,28,37.03,32.87,1.57,0.13,4.44,0.49,0.16,0.245,0.322,0.418,0.74,13.73,0.69,0.07,0.22
2019,30,831,28.4,4.83,4.49,4858,0.99,0.01,0.01,0.06,0.24,8.94,8.65,4.83,4.46,1.39,3.27,0.16,8.81,0.41,0.03,0.37,38.39,,1.334,0.298,8.7,1.4,3.3,8.9,2.69,0.6,27.9,38.39,34.3,1.76,0.16,4.63,0.47,0.17,0.252,0.323,0.435,0.758,14.92,0.71,0.16,0.24
2018,30,799,28.4,4.45,4.14,4862,0.99,0.01,0,0.06,0.26,8.94,8.44,4.45,4.12,1.15,3.23,0.19,8.48,0.4,0.03,0.38,38.08,,1.304,0.295,8.5,1.2,3.2,8.5,2.63,0.57,28.1,38.08,34.03,1.7,0.17,4.24,0.51,0.2,0.248,0.318,0.409,0.728,13.93,0.71,0.17,0.25
2017,30,755,28.5,4.65,4.35,4860,0.99,0.01,0.01,0.05,0.24,8.9,8.69,4.65,4.3,1.26,3.26,0.2,8.25,0.36,0.03,0.37,38.13,,1.342,0.3,8.8,1.3,3.3,8.3,2.53,0.58,28.3,38.13,34.07,1.73,0.16,4.44,0.52,0.19,0.255,0.324,0.426,0.75,14.51,0.78,0.19,0.24
2016,30,742,28.3,4.48,4.18,4856,0.98,0.02,0.01,0.06,0.26,8.92,8.71,4.48,4.14,1.16,3.11,0.19,8.03,0.34,0.03,0.37,38.01,,1.325,0.3,8.8,1.2,3.1,8.1,2.58,0.58,28.4,38.01,34.09,1.7,0.18,4.27,0.52,0.21,0.255,0.322,0.417,0.739,14.23,0.77,0.21,0.25
2015,30,735,28.4,4.25,3.95,4858,0.98,0.02,0.01,0.07,0.27,8.94,8.67,4.25,3.93,1.01,2.9,0.2,7.71,0.33,0.03,0.36,37.8,,1.294,0.299,8.7,1,2.9,7.8,2.66,0.58,28.4,37.8,34.07,1.7,0.19,4.04,0.52,0.22,0.254,0.317,0.405,0.721,13.78,0.77,0.25,0.25
2014,30,692,28.5,4.07,3.74,4860,0.98,0.02,0.01,0.07,0.26,8.97,8.56,4.07,3.73,0.86,2.88,0.2,7.7,0.34,0.03,0.35,37.85,,1.275,0.298,8.6,0.9,2.9,7.7,2.67,0.6,28.5,37.85,34.08,1.67,0.17,3.86,0.57,0.21,0.251,0.314,0.386,0.7,13.17,0.74,0.28,0.26
2013,30,679,28.4,4.17,3.86,4862,0.97,0.03,0.01,0.07,0.26,8.98,8.66,4.17,3.85,0.96,3.01,0.21,7.55,0.32,0.03,0.36,38.02,,1.3,0.297,8.7,1,3,7.6,2.51,0.56,28.5,38.02,34.16,1.69,0.16,3.96,0.55,0.21,0.253,0.318,0.396,0.714,13.54,0.77,0.28,0.25
2012,30,662,28.4,4.32,4.01,4860,0.97,0.03,0.01,0.06,0.26,8.92,8.65,4.32,3.97,1.02,3.03,0.22,7.5,0.31,0.03,0.32,37.9,,1.309,0.297,8.7,1,3.1,7.6,2.48,0.62,28.5,37.9,34,1.7,0.19,4.11,0.66,0.23,0.255,0.319,0.405,0.724,13.78,0.74,0.3,0.25
2011,30,662,28.3,4.28,3.94,4858,0.96,0.04,0.02,0.07,0.26,8.96,8.7,4.28,3.92,0.94,3.09,0.25,7.1,0.32,0.03,0.32,38.13,,1.316,0.295,8.7,0.9,3.1,7.1,2.3,0.63,28.7,38.13,34.11,1.73,0.18,4.08,0.67,0.26,0.255,0.321,0.399,0.72,13.61,0.73,0.34,0.26
2010,30,635,28.4,4.38,4.07,4860,0.97,0.03,0.01,0.07,0.25,8.91,8.76,4.38,4.03,0.95,3.25,0.25,7.06,0.32,0.04,0.34,38.18,,1.347,0.297,8.8,1,3.3,7.1,2.17,0.62,28.9,38.18,34.02,1.75,0.18,4.17,0.61,0.23,0.257,0.325,0.403,0.728,13.71,0.77,0.32,0.27
2009,30,664,28.4,4.61,4.31,4860,0.97,0.03,0.01,0.06,0.25,8.9,8.96,4.61,4.27,1.04,3.42,0.24,6.91,0.33,0.03,0.33,38.49,,1.39,0.299,9.1,1,3.5,7,2.02,0.59,28.9,38.49,34.13,1.8,0.2,4.4,0.61,0.23,0.262,0.333,0.418,0.751,14.26,0.78,0.34,0.28
2008,30,651,28.6,4.65,4.32,4856,0.97,0.03,0.01,0.06,0.24,8.93,9.06,4.65,4.28,1,3.36,0.27,6.77,0.34,0.03,0.32,38.64,,1.391,0.3,9.1,1,3.4,6.8,2.01,0.61,28.8,38.64,34.33,1.86,0.18,4.44,0.58,0.21,0.264,0.333,0.416,0.749,14.29,0.8,0.31,0.28
2007,30,666,28.7,4.8,4.46,4862,0.98,0.02,0.01,0.05,0.25,8.93,9.25,4.8,4.43,1.02,3.31,0.27,6.62,0.36,0.03,0.31,38.8,,1.406,0.302,9.3,1,3.3,6.7,2,0.61,29.1,38.8,34.51,1.89,0.19,4.58,0.6,0.21,0.268,0.336,0.423,0.758,14.59,0.82,0.32,0.3
